EURUSD
Tenor,SettlementDate,BidPoints,AskPoints,BidOutright,AskOutright
ON,2025/12/31,0.595,0.645,1.1772357,1.1773506
SP,2026/1/2,1.1775,1.1776,1.1775,1.1776
1W,2026/1/9,8.8,9.1,1.17838,1.178491
1M,2026/2/2,17.39,17.54,1.179239,1.179354
3M,2026/4/2,49.55,49.85,1.182455,1.182485

USDJPY
Tenor,SettlementDate,BidPoints,AskPoints,BidOutright,AskOutright
ON,2025/12/31,15.3,15.8,149.803,149.808
SP,2026/1/2,28.7,29.2,149.817,149.822
1W,2026/1/9,50.5,51.5,149.839,149.849
1M,2026/2/2,128.0,129.0,149.907,149.917
3M,2026/4/2,375.0,376.0,150.154,150.164

USDCNY
Tenor,SettlementDate,BidPoints,AskPoints,BidOutright,AskOutright
ON,2025/12/31,0.005,0.008,7.0105,7.01053
SP,2026/1/2,0.015,0.018,7.0106,7.01063
1W,2026/1/9,0.12,0.13,7.0117,7.0118
1M,2026/2/2,0.55,0.65,7.0160,7.0170
3M,2026/4/2,1.85,1.95,7.0290,7.0300

GBPJPY
Tenor,SettlementDate,BidPoints,AskPoints,BidOutright,AskOutright
ON,2025/12/31,12.5,13.5,187.25,187.26
SP,2026/1/2,25.5,26.5,187.38,187.39
1W,2026/1/9,45.5,46.5,187.58,187.59
1M,2026/2/2,125.5,126.5,188.38,188.39
3M,2026/4/2,355.5,356.5,190.68,190.69
